year,source,target,id,type,citationcount,count
1997,Lori L. Scarlatos,Ben Shneiderman,53e99a2bb7602d97022861ec,Co-co-author,19.0,1
1997,Lori L. Scarlatos,Carrie Heeter,53e99a2bb7602d97022861ec,Co-co-author,19.0,1
1997,Lori L. Scarlatos,Komei Harada,53e99a2bb7602d97022861ec,Co-co-author,19.0,1
1997,Lori L. Scarlatos,Richard Muller,53e99a2bb7602d97022861ec,Co-co-author,19.0,1
1997,Lori L. Scarlatos,Rudolph P. Darken,53e99a2bb7602d97022861ec,Co-co-author,19.0,1
1997,Rohit Mahajan,Ben Shneiderman,53e99c12b7602d97024bcea9,Co-co-author,137.0,1
1997,Shyh-Kuang Ueng,Christopher A. Sikorski,53e99998b7602d97021dbece,Co-co-author,158.0,1
1997,Shyh-Kuang Ueng,Kwan-Liu Ma,53e99998b7602d97021dbece,Co-co-author,158.0,1
1997,Tzi-cker Chiueh,Kwan-Liu Ma,53e99c04b7602d97024b2ae4,Co-co-author,18.0,1
1998,Ben Shneiderman,Catherine Plaisant,53e99c0bb7602d97024b797e,Co-co-author,2.0,1
1998,Ben Shneiderman,Donald Byrd,53e99a2ab7602d9702282405,Co-co-author,220.0,1
1998,Ben Shneiderman,Frederick G. Conrad,573696e46e3b12023e5e31c3,Co-co-author,13.0,1
1998,Ben Shneiderman,Jakob Nielsen,573696e46e3b12023e5e31c3,Co-co-author,13.0,1
1998,Ben Shneiderman,Michael D. Levi,573696e46e3b12023e5e31c3,Co-co-author,13.0,1
1998,Ben Shneiderman,Scott Butler,573696e46e3b12023e5e31c3,Co-co-author,13.0,1
1998,Ben Shneiderman,W. Bruce Croft,53e99a2ab7602d9702282405,Co-co-author,220.0,1
1998,Catherine Plaisant,Ben Shneiderman,53e99d4cb7602d9702604f42,Co-co-author,67.0,1
1998,Catherine Plaisant,Ben Shneiderman,573696e46e3b12023e5e2ddb,Co-co-author,31.0,1
1998,Catherine Plaisant,Daniel Heller,573696e46e3b12023e5e2ddb,Co-co-author,31.0,1
1998,Catherine Plaisant,Jia Li,573696e46e3b12023e5e2ddb,Co-co-author,31.0,1
1998,Catherine Plaisant,John Karat,573696e46e3b12023e5e2ddb,Co-co-author,31.0,1
1998,Catherine Plaisant,Richard A. Mushlin,573696e46e3b12023e5e2ddb,Co-co-author,31.0,1
1998,Diana Laurillard,Ben Shneiderman,573696e56e3b12023e5e3b52,Co-co-author,10.0,1
1998,Diana Laurillard,Jenny Preece,573696e56e3b12023e5e3b52,Co-co-author,10.0,1
1998,Diana Laurillard,Lisa Neal,573696e56e3b12023e5e3b52,Co-co-author,10.0,1
1998,Diana Laurillard,Yvonne Wærn,573696e56e3b12023e5e3b52,Co-co-author,10.0,1
1998,Eser Kandogan,Ben Shneiderman,53e9ac05b7602d97035c3529,Co-co-author,6.0,1
1998,Eser Kandogan,Ben Shneiderman,573696e36e3b12023e5e1ddb,Co-co-author,3.0,1
1998,Jia Li,Ben Shneiderman,53e9a9e6b7602d9703348989,Co-co-author,35.0,1
1998,Jia Li,Catherine Plaisant,53e9a9e6b7602d9703348989,Co-co-author,35.0,1
1998,Scott T. Leutenegger,Kwan-Liu Ma,53e9a75fb7602d9703097243,Co-co-author,2.0,1
1999,Anna Fredrikson,Ben Shneiderman,53e998b8b7602d97020f4604,Co-co-author,110.0,1
1999,Anna Fredrikson,Catherine Plaisant,53e998b8b7602d97020f4604,Co-co-author,110.0,1
1999,Anna Fredrikson,Chris North,53e998b8b7602d97020f4604,Co-co-author,110.0,1
1999,Batya Friedman,Ben Shneiderman,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Batya Friedman,Clifford Nass,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Batya Friedman,Helen Nissenbaum,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Batya Friedman,John C. Thomas,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Batya Friedman,Jonathan Grudin,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Batya Friedman,Mark S. Schlager,573696e36e3b12023e5e2b10,Co-co-author,27.0,1
1999,Catherine Plaisant,Anne Rose,53e9bda5b7602d9704a51397,Co-co-author,96.0,1
